Product URL,Title,Price,Image URL
https://www.flipkart.com/cetaphil-moisturising-lotion-face-body-all-skin-type-100ml-3-pack-3/p/itm79a5b4b70e098?pid=MSCFYTQ3AGXHB2X5&lid=LSTMSCFYTQ3AGXHB2X5YA3IZ4&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_65&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCFYTQ3AGXHB2X5.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,Cetaphil Moisturising Lotion for Face & Body (All Skin Type) (100ml*3) (Pack of 3)  (100 ml),"₹1,587",https://rukminim2.flixcart.com/image/416/416/xif0q/moisturizer-cream/g/h/l/-original-imagsqfgswjchekj.jpeg?q=70&crop=false
https://www.flipkart.com/cetaphil-moisturizing-lotion-gentle-skin-cleanser-100-ml-125/p/itme5fbc1cf826ec?pid=MSCH8VYGNQGNXF2Y&lid=LSTMSCH8VYGNQGNXF2YWNITZM&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_64&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCH8VYGNQGNXF2Y.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,"Cetaphil Moisturizing Lotion + Gentle Skin Cleanser, 100 ml /125 ml  (225 ml)","₹1,054",https://rukminim2.flixcart.com/image/416/416/xif0q/moisturizer-cream/k/u/i/225-moisturizing-lotion-gentle-skin-cleanser-100-ml-125-ml-original-imah97t6cswegcxt.jpeg?q=70&crop=false
https://www.flipkart.com/cetaphil-baby-daily-lotion-400ml-pack-2/p/itm207ac2889d5c5?pid=MSCFKH49J5N6SFDA&lid=LSTMSCFKH49J5N6SFDA7KDKZX&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_63&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCFKH49J5N6SFDA.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,Cetaphil Baby Daily Lotion (400ml) - Pack of 2  (800 ml),"₹1,767",https://rukminim2.flixcart.com/image/416/416/k0sgl8w0/moisturizer-cream/d/9/d/400-baby-daily-lotion-400ml-pack-of-2-cetaphil-lotion-original-imafkhmdwg4qbrnc.jpeg?q=70&crop=false
https://www.flipkart.com/cetaphil-baby-daily-lotion-400ml-gentle-wash-shampoo-230ml-pack-2/p/itmewywkzxv7qhss?pid=MSCEWXCC29HCFF66&lid=LSTMSCEWXCC29HCFF66HICPD4&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_62&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCEWXCC29HCFF66.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,"Cetaphil Baby Daily Lotion, 400ml and Baby Gentle Wash and Shampoo, 230ml (Pack of 2)  (400 ml)","₹1,656",https://rukminim2.flixcart.com/image/416/416/j6jn24w0/moisturizer-cream/f/6/6/400-baby-daily-lotion-400ml-and-baby-gentle-wash-and-shampoo-original-imaewxc2fg8eyrfp.jpeg?q=70&crop=false
https://www.flipkart.com/dot-key-yoghurt-body-moisturizer-avalon-lemon-verbena-lotion-all-skin-types/p/itmac8b1aeb16fc4?pid=MSCG8KXGA2XSAVRU&lid=LSTMSCG8KXGA2XSAVRUKMNCWQ&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_61&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCG8KXGA2XSAVRU.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,"Dot & Key Yoghurt Body Moisturizer Avalon Lemon & Verbena, Body lotion for All Skin Types  (200 ml)",₹466,https://rukminim2.flixcart.com/image/416/416/l13whow0/moisturizer-cream/r/q/l/200-yoghurt-body-moisturizer-avalon-lemon-verbena-bergamot-deep-original-imagcqxsvmzjeqy6.jpeg?q=70&crop=false
https://www.flipkart.com/cetaphil-bright-healthy-radiance-night-comfort-cream/p/itmf3fa17eea7e79?pid=MSCGYUVJHD9CVZQD&lid=LSTMSCGYUVJHD9CVZQDGIQNIA&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_60&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCGYUVJHD9CVZQD.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,Cetaphil Bright Healthy Radiance Night Comfort Cream  (50 g),"₹1,199",https://rukminim2.flixcart.com/image/416/416/xif0q/moisturizer-cream/u/b/a/-original-imaggujhhywzptjv.jpeg?q=70&crop=false
https://www.flipkart.com/cetaphil-spf-30-light-gel-sunscreen/p/itma47e58605b0f3?pid=MSCGHQZEEKFW49UM&lid=LSTMSCGHQZEEKFW49UMOIKFE3&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_59&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCGHQZEEKFW49UM.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,Cetaphil SPF 30 Light Gel Sunscreen  (100 ml),"₹1,116",https://rukminim2.flixcart.com/image/416/416/xif0q/moisturizer-cream/e/k/s/-original-imagq43j2zjunze5.jpeg?q=70&crop=false
https://www.flipkart.com/cetaphil-restoraderm-skin-restoring-body-moisturizer-very-dry-itchy-skin-295ml/p/itmewue6nxgafnzx?pid=MSCEWTUYB9SF2BJG&lid=LSTMSCEWTUYB9SF2BJG7UIOMB&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_58&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCEWTUYB9SF2BJG.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,"Cetaphil Restoraderm, Skin Restoring Body Moisturizer, for Very Dry Itchy Skin, 295ml  (295 ml)","₹2,153",https://rukminim2.flixcart.com/image/416/416/xif0q/moisturizer-cream/z/h/o/-original-imags9nxrhwaft9w.jpeg?q=70&crop=false
https://www.flipkart.com/cetaphil-moisturizing-lotion-sensitive-dry-skin-pack-2/p/itmeqfrfv5mvkdr6?pid=MSCEQFRFEWTFADRN&lid=LSTMSCEQFRFEWTFADRNLSAYAC&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_57&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCEQFRFEWTFADRN.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,Cetaphil Moisturizing Lotion for sensitive or dry skin - Pack of 2  (250 ml),"₹2,278",https://rukminim2.flixcart.com/image/416/416/xif0q/moisturizer-cream/h/r/q/-original-imagsqfgdzvzqdrj.jpeg?q=70&crop=false
https://www.flipkart.com/cetaphil-moisturising-cream-face-body-all-skin-type-80gm-2-pack-2/p/itm7428566fcc164?pid=MSCFYTSXEE8GQBEF&lid=LSTMSCFYTSXEE8GQBEFNPRALV&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_56&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCFYTSXEE8GQBEF.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,Cetaphil Moisturising Cream for Face & Body (All Skin Type) (80gm*2) (Pack of 2)  (80 ml),"₹1,160",https://rukminim2.flixcart.com/image/416/416/xif0q/moisturizer-cream/f/v/8/-original-imagsqfg6tghpbcs.jpeg?q=70&crop=false
